obs,pred
-999.0,2.409
1.149,1.118
1.149,1.293
-999.0,2.053
-999.0,-999.0
1.891,2.214
2.459,2.796
3.179,2.042
2.974,3.056
1.149,1.575
0.863,0.278
0.863,0.931
2.459,4.76
2.459,3.001
2.459,2.136
1.149,1.798
1.149,0.939
1.149,1.472
0.863,0.619
0.863,0.613
0.863,1.588
0.863,1.069
0.863,1.56
5.194,2.124
1.149,1.865
1.149,1.152
1.149,2.116
-999.0,1.578
0.863,0.828
-999.0,0.243
3.48,0.317
3.48,2.635
-999.0,2.971
0.863,0.836
0.863,1.355
1.149,1.023
1.149,0.902
1.149,1.785
-999.0,3.529
-999.0,2.791
3.993,1.851
-999.0,0.154
-999.0,1.159
0.863,1.561
0.863,1.443
0.863,2.052
-999.0,1.76
-999.0,2.591
0.863,1.263
0.863,1.574
0.863,1.537
1.149,1.728
1.149,2.084
3.993,2.538
3.943,2.56
2.527,2.389
-999.0,-999.0
3.334,2.323
-999.0,2.082
0.863,1.865
0.863,1.74
0.863,1.566
0.863,1.405
-999.0,1.308
-999.0,2.883
0.863,2.067
0.863,1.548
0.863,1.851
-999.0,1.927
-999.0,2.495
3.03,2.379
2.527,2.505
3.5,2.552
1.292,2.046
-999.0,3.167
-999.0,0.858
-999.0,1.979
3.334,3.151
0.863,1.335
0.863,1.13
2.663,1.347
0.863,1.591
0.863,1.593
-999.0,2.497
3.482,2.86
-999.0,2.426
-999.0,1.599
0.863,0.763
-999.0,2.427
0.915,2.427
0.915,2.107
1.292,2.389
2.034,2.456
2.034,2.69
3.768,1.597
-999.0,1.392
3.768,2.818
3.334,1.883
3.334,3.094
3.509,3.426
2.663,2.796
3.521,2.113
0.863,2.284
0.863,2.284
0.863,2.511
2.386,2.968
1.369,2.543
0.863,0.704
0.863,1.479
0.863,0.315
0.915,2.634
2.272,3.256
2.034,2.816
2.034,2.75
2.478,2.604
-999.0,1.524
1.769,2.498
3.768,1.929
1.525,2.953
-999.0,2.938
3.509,2.754
-999.0,2.796
3.521,2.208
-999.0,2.412
-999.0,2.192
-999.0,1.714
-999.0,1.294
2.569,3.194
2.569,2.659
3.538,3.123
0.863,0.331
2.072,1.069
2.272,2.154
2.272,4.279
2.478,3.599
1.368,2.701
2.539,3.061
2.539,2.768
4.214,2.191
2.86,2.536
2.86,2.724
2.86,1.497
2.711,3.439
2.711,2.405
3.307,2.511
3.307,1.602
3.307,2.041
-999.0,2.835
-999.0,2.597
-999.0,1.453
2.83,3.09
3.448,2.528
3.142,3.19
3.142,2.768
-999.0,1.759
3.448,1.516
3.448,1.836
-999.0,2.909
1.651,3.572
1.608,2.516
1.608,1.736
1.608,2.418
4.214,2.539
-999.0,2.904
3.551,3.377
1.539,2.359
2.711,1.892
-999.0,0.219
-999.0,0.763
0.916,2.847
1.737,3.212
3.197,2.654
3.197,2.946
3.197,2.702
3.448,2.839
3.448,2.151
3.142,2.081
3.448,2.596
3.448,2.088
3.448,1.04
1.768,1.93
-999.0,2.459
1.651,2.48
1.857,2.05
1.329,3.635
5.017,3.389
-999.0,2.451
-999.0,2.571
-999.0,1.865
-999.0,2.729
-999.0,1.625
3.738,0.347
2.216,0.429
-999.0,2.971
-999.0,2.494
3.711,3.088
2.276,2.824
2.276,3.335
-999.0,2.709
3.448,0.732
3.448,1.28
1.667,2.786
1.667,3.467
3.619,2.339
-999.0,1.366
3.836,1.988
0.893,2.631
1.078,2.506
1.589,2.392
1.589,2.432
1.589,2.257
1.589,-999.0
-999.0,2.281
-999.0,2.719
2.216,3.118
2.216,2.433
2.216,2.299
3.711,3.045
1.366,2.709
1.366,2.189
4.328,3.355
4.328,2.961
3.448,1.922
3.448,2.164
3.448,2.434
3.619,2.534
3.619,2.965
3.836,1.698
2.916,1.264
-999.0,1.637
1.592,2.577
1.592,3.134
1.589,2.666
1.756,2.42
4.616,2.726
-999.0,1.302
-999.0,2.413
2.227,3.47
2.227,2.104
-999.0,1.997
