obs,pred
4.925,5.221
1.503,5.174
1.503,5.434
1.503,5.532
3.414,5.529
3.596,5.475
3.627,5.111
3.735,5.653
3.025,5.272
2.61,5.441
-999.0,5.326
4.455,5.631
2.271,5.417
2.271,5.476
2.271,5.526
2.779,5.495
2.779,5.589
3.056,5.378
2.994,5.444
4.925,4.96
1.503,5.632
2.994,5.671
3.06,5.029
4.24,5.393
3.627,5.008
3.025,4.694
2.674,4.94
3.025,5.107
-999.0,5.088
2.675,5.515
-999.0,4.998
2.684,5.195
2.684,5.481
2.271,5.224
3.641,5.662
3.175,5.104
2.779,5.386
3.056,5.144
2.994,5.818
6.436,5.802
3.06,5.447
-999.0,5.546
2.645,5.413
2.645,4.918
2.876,5.251
-999.0,4.514
3.025,4.967
3.196,5.215
-999.0,-999.0
2.675,4.805
-999.0,4.857
4.42,5.153
4.42,4.829
4.336,4.712
3.72,5.426
2.81,5.398
3.056,5.37
3.831,5.359
4.006,5.4
1.883,5.654
1.883,5.366
4.53,5.653
2.645,5.551
3.252,5.333
3.025,5.289
3.492,5.13
-999.0,5.062
-999.0,5.19
-999.0,5.511
2.955,5.263
-999.0,5.284
4.336,5.478
2.374,5.533
2.81,5.268
2.035,5.29
3.715,4.727
4.006,5.476
1.944,5.13
1.883,4.948
2.629,5.549
-999.0,5.35
3.143,5.3
3.579,5.377
3.408,4.898
3.492,5.339
-999.0,5.175
-999.0,4.955
-999.0,5.064
3.196,4.749
2.384,5.259
2.374,4.477
2.374,5.47
-999.0,5.145
2.421,5.063
3.788,4.952
1.944,4.942
-999.0,5.028
3.057,5.065
-999.0,5.274
-999.0,5.267
3.579,4.728
3.579,5.337
2.287,5.443
3.492,5.458
4.249,5.033
3.196,4.916
3.196,5.053
3.037,4.877
3.508,4.692
-999.0,5.014
1.597,5.148
4.012,5.274
3.229,5.603
3.229,5.092
-999.0,5.404
-999.0,5.444
3.336,5.359
3.336,5.398
2.74,4.938
3.189,4.909
2.342,5.367
4.249,5.246
2.319,5.366
2.319,5.403
3.912,5.397
3.037,5.235
-999.0,5.173
-999.0,5.175
1.845,5.209
1.294,5.526
4.958,5.153
3.033,5.386
-999.0,5.256
3.336,5.512
2.744,5.586
-999.0,5.384
-999.0,4.686
2.342,4.852
2.817,5.585
3.996,5.759
2.319,5.518
4.241,5.552
-999.0,5.085
1.156,5.002
2.872,5.373
1.294,5.326
1.294,5.592
2.971,5.207
3.87,5.18
3.559,5.328
2.744,5.347
3.073,5.262
2.342,4.703
-999.0,5.243
-999.0,4.839
3.764,5.122
2.126,5.71
-999.0,5.459
1.955,5.389
1.955,5.247
3.363,4.343
2.423,4.611
3.157,4.404
-999.0,4.953
4.459,4.89
3.257,5.257
3.814,4.888
0.173,5.174
3.765,4.843
0.173,4.889
2.5,4.489
2.054,4.871
-999.0,4.794
0.173,4.705
2.282,5.461
3.32,5.382
1.955,5.26
1.955,4.86
3.438,4.618
3.414,4.765
4.796,4.783
4.607,4.887
3.01,4.915
3.01,4.821
0.173,4.609
0.173,4.699
0.173,4.863
2.5,4.129
2.5,4.855
0.173,4.572
0.173,4.147
1.558,4.43
4.373,4.289
4.124,4.919
-999.0,4.897
1.861,5.694
1.861,5.157
4.607,5.11
4.035,5.244
-999.0,5.06
0.173,4.742
0.173,4.42
0.173,4.776
0.173,4.225
0.173,4.178
2.267,4.6
2.267,5.366
3.081,4.995
-999.0,4.871
-999.0,4.447
1.689,5.057
1.689,5.247
-999.0,4.973
1.764,5.317
3.091,5.074
4.912,5.176
5.256,5.243
0.173,4.341
0.173,5.08
0.173,4.534
0.173,4.887
-999.0,5.322
2.267,5.254
-999.0,5.074
-999.0,5.178
3.49,5.163
3.49,5.156
1.689,4.225
1.689,5.353
-999.0,5.196
-999.0,5.055
3.338,4.941
4.456,5.067
2.986,4.901
-999.0,5.031
0.173,4.501
0.173,4.658
-999.0,4.793
1.883,5.422
1.883,5.045
-999.0,5.131
3.482,5.264
3.326,5.231
-999.0,5.258
-999.0,4.841
-999.0,5.374
2.92,5.565
3.346,5.109
-999.0,5.004
3.195,5.494
2.142,5.297
3.891,5.3
3.778,5.469
3.741,5.526
3.741,4.979
-999.0,4.719
3.186,4.998
0.173,4.734
0.173,4.975
0.173,4.902
3.559,5.551
-999.0,5.474
3.482,4.456
3.407,5.463
3.407,5.46
3.89,5.26
-999.0,5.319
-999.0,5.276
2.92,5.414
2.92,5.378
2.828,4.851
4.349,4.211
4.349,5.202
3.778,5.465
3.778,5.129
1.223,4.692
3.741,4.539
3.741,5.123
-999.0,4.293
-999.0,4.845
-999.0,4.812
0.173,4.766
-999.0,4.161
-999.0,4.799
-999.0,5.42
-999.0,5.179
2.984,4.82
2.984,5.171
-999.0,5.038
2.969,5.478
2.969,5.149
2.969,5.361
2.969,4.973
-999.0,5.194
1.995,5.365
3.568,5.074
3.568,4.956
-999.0,4.929
-999.0,4.38
-999.0,4.845
-999.0,5.392
-999.0,5.324
3.465,5.059
3.912,4.365
2.333,4.255
2.17,4.873
2.17,4.829
-999.0,4.493
-999.0,4.255
-999.0,5.159
0.92,5.368
0.92,4.913
-999.0,4.554
-999.0,4.402
2.969,5.345
2.969,5.647
2.969,5.291
2.969,5.647
3.985,5.454
1.995,5.26
4.336,5.459
1.94,5.008
3.292,5.375
-999.0,5.769
-999.0,-999.0
-999.0,4.496
-999.0,5.431
4.668,5.217
1.995,4.31
-999.0,4.717
1.382,5.265
2.17,5.777
-999.0,5.235
1.01,5.225
-999.0,5.464
-999.0,4.358
-999.0,4.853
-999.0,5.084
2.969,5.308
2.969,5.105
2.969,5.699
4.362,5.863
3.985,5.522
-999.0,5.605
-999.0,5.245
-999.0,5.506
-999.0,5.239
4.668,4.965
4.668,4.746
2.305,4.971
2.981,4.878
2.384,4.783
3.723,4.858
3.723,5.174
2.17,5.191
1.935,5.119
-999.0,5.235
-999.0,5.329
-999.0,5.311
-999.0,5.127
-999.0,4.701
-999.0,4.704
2.969,5.347
3.523,5.594
3.607,5.717
3.785,5.687
3.985,5.553
3.874,5.979
3.961,5.78
3.179,5.663
3.179,5.628
2.792,5.487
1.338,4.881
1.338,5.052
-999.0,5.038
3.592,5.349
3.592,5.132
3.491,5.23
-999.0,4.968
2.877,5.071
-999.0,5.525
-999.0,5.318
2.416,5.359
-999.0,4.905
-999.0,4.694
-999.0,5.386
-999.0,5.786
2.969,5.624
2.969,5.282
3.834,6.061
3.834,5.612
3.717,5.561
3.674,5.641
2.792,5.753
2.792,5.526
2.968,5.106
1.338,4.741
3.387,4.578
3.387,5.215
3.586,5.263
-999.0,4.617
-999.0,4.741
-999.0,4.665
-999.0,4.335
-999.0,5.378
1.963,4.971
3.751,5.57
2.337,4.664
-999.0,4.69
-999.0,5.757
-999.0,5.509
2.969,5.391
2.223,5.246
-999.0,5.635
-999.0,5.585
-999.0,5.346
2.732,5.616
3.415,5.278
2.121,5.475
2.121,5.354
2.424,5.286
3.387,4.594
2.978,4.92
-999.0,5.233
-999.0,4.973
-999.0,5.147
-999.0,5.4
-999.0,5.057
-999.0,5.401
1.855,5.412
1.855,5.537
-999.0,5.444
-999.0,5.292
-999.0,4.831
-999.0,5.331
-999.0,5.389
2.223,5.331
2.223,5.617
0.798,5.347
3.083,5.527
2.147,5.361
2.718,5.248
0.798,5.46
3.415,5.371
2.078,5.416
2.078,5.185
2.078,4.451
-999.0,4.841
-999.0,5.298
-999.0,5.32
2.962,5.203
-999.0,5.3
-999.0,5.363
4.36,5.356
1.855,5.147
-999.0,5.434
-999.0,5.169
-999.0,5.54
2.247,5.333
-999.0,5.132
-999.0,5.367
-999.0,5.319
-999.0,5.724
1.35,5.218
3.029,4.986
5.374,5.203
5.374,5.134
2.222,6.166
0.798,5.02
3.054,5.415
0.798,5.269
-999.0,4.98
-999.0,-999.0
-999.0,5.235
2.962,5.092
-999.0,5.403
-999.0,5.257
4.36,4.988
-999.0,4.915
-999.0,5.059
2.247,4.892
2.247,5.247
2.247,5.372
-999.0,5.245
-999.0,5.387
-999.0,5.502
-999.0,5.653
-999.0,5.41
-999.0,5.393
1.35,4.699
5.374,4.915
5.374,5.197
0.798,5.079
0.798,5.148
0.798,5.217
3.044,5.241
1.995,5.27
2.866,4.937
2.962,5.583
2.962,5.523
-999.0,4.556
-999.0,4.794
-999.0,4.84
-999.0,5.001
-999.0,5.18
2.247,5.381
-999.0,5.321
-999.0,5.403
-999.0,5.568
-999.0,5.617
-999.0,5.211
-999.0,5.468
3.489,4.673
-999.0,4.908
1.326,5.585
1.326,5.314
2.53,5.249
2.147,5.449
-999.0,5.091
3.044,5.496
3.044,5.568
2.218,5.393
2.218,5.451
-999.0,5.37
-999.0,5.129
-999.0,5.178
-999.0,5.832
-999.0,5.35
-999.0,5.268
-999.0,5.122
-999.0,5.602
-999.0,5.152
-999.0,5.017
-999.0,4.966
3.547,5.101
-999.0,5.748
-999.0,5.387
1.326,5.249
1.326,5.147
0.798,4.963
1.754,5.545
-999.0,5.529
-999.0,5.579
-999.0,5.359
2.468,5.517
-999.0,5.533
-999.0,5.462
-999.0,5.259
-999.0,5.417
-999.0,4.859
2.242,5.215
-999.0,5.249
2.382,5.399
2.382,5.023
-999.0,4.872
3.978,5.073
3.978,4.296
3.071,4.82
-999.0,4.898
-999.0,4.955
-999.0,5.162
1.869,4.87
2.147,5.638
2.147,5.707
1.859,5.157
3.662,5.283
-999.0,5.319
-999.0,5.39
-999.0,5.485
-999.0,5.372
-999.0,5.227
-999.0,5.222
2.242,5.305
2.382,5.008
-999.0,5.022
-999.0,4.742
-999.0,5.057
-999.0,5.466
3.071,4.64
-999.0,5.246
2.1,5.2
2.777,5.545
2.777,5.39
2.147,5.078
2.147,5.091
2.632,5.584
1.859,5.456
4.0,5.568
-999.0,5.151
-999.0,5.515
-999.0,4.945
-999.0,-999.0
-999.0,4.866
-999.0,4.8
-999.0,4.563
-999.0,5.129
-999.0,5.433
-999.0,5.534
-999.0,4.214
-999.0,5.108
-999.0,4.998
2.018,5.127
-999.0,5.581
1.3,5.575
1.3,5.589
3.836,5.092
-999.0,4.492
-999.0,5.38
2.632,5.524
-999.0,5.261
-999.0,5.506
1.83,5.046
2.442,5.625
1.739,5.521
-999.0,5.538
-999.0,5.025
-999.0,3.868
-999.0,4.891
-999.0,5.366
-999.0,5.658
-999.0,5.047
-999.0,4.512
1.908,5.64
-999.0,5.79
-999.0,5.661
-999.0,5.664
-999.0,5.191
-999.0,4.906
-999.0,4.897
3.891,5.599
2.723,5.777
-999.0,5.754
2.057,5.46
2.057,5.337
-999.0,5.353
-999.0,5.239
0.23,3.76
-999.0,5.025
-999.0,4.741
-999.0,5.101
-999.0,5.014
-999.0,4.5
-999.0,4.987
-999.0,5.274
-999.0,5.402
-999.0,5.682
-999.0,5.636
-999.0,5.215
-999.0,4.95
-999.0,5.192
2.07,5.382
2.239,5.295
2.115,5.352
1.786,5.592
0.23,4.755
0.23,4.947
0.23,4.83
0.23,4.45
0.23,4.246
0.23,4.705
-999.0,4.866
-999.0,4.322
-999.0,4.572
-999.0,5.412
-999.0,5.144
3.69,5.21
3.69,5.405
-999.0,5.643
-999.0,5.5
-999.0,5.383
-999.0,5.56
3.667,5.459
3.186,5.497
2.474,5.664
2.115,5.654
1.786,5.587
0.23,4.419
0.23,3.987
0.23,4.967
0.23,4.902
0.23,5.205
0.23,4.828
-999.0,4.07
-999.0,4.382
-999.0,4.877
-999.0,5.027
-999.0,4.97
3.69,5.3
3.69,5.407
-999.0,5.317
3.593,5.397
-999.0,5.158
4.437,5.134
-999.0,5.19
-999.0,4.895
0.23,4.342
0.23,4.173
0.23,4.438
0.23,4.752
0.23,5.133
0.23,5.253
0.23,4.834
0.23,4.581
0.23,4.733
-999.0,5.165
-999.0,5.485
-999.0,5.431
-999.0,5.378
-999.0,5.313
-999.0,5.467
-999.0,4.514
1.937,4.632
-999.0,4.172
4.428,5.264
-999.0,5.515
0.23,4.127
0.23,4.794
0.23,4.884
0.23,4.247
0.23,4.561
0.23,4.479
0.23,5.196
0.23,4.938
0.23,4.532
-999.0,4.733
-999.0,5.17
-999.0,5.387
-999.0,5.185
-999.0,5.438
-999.0,4.909
-999.0,5.003
-999.0,4.635
-999.0,4.237
-999.0,4.403
3.758,4.984
3.758,5.608
4.299,5.372
0.23,4.09
3.157,4.967
0.23,4.675
0.23,4.532
0.23,5.173
0.23,4.959
0.23,5.098
0.23,4.395
-999.0,4.287
0.23,4.937
2.235,4.828
-999.0,4.968
-999.0,5.705
-999.0,5.098
-999.0,4.793
-999.0,5.201
-999.0,4.194
-999.0,5.132
2.993,5.085
-999.0,5.547
3.365,5.524
0.23,4.974
0.23,4.832
0.23,4.889
0.23,4.194
0.23,5.75
0.23,5.196
0.23,5.27
0.23,4.706
0.23,4.598
-999.0,5.082
-999.0,4.9
2.235,5.362
-999.0,4.718
-999.0,5.145
-999.0,4.928
-999.0,4.992
-999.0,-999.0
-999.0,5.053
-999.0,5.043
3.368,5.496
3.624,5.339
3.624,5.529
-999.0,5.548
0.23,4.561
0.23,5.327
0.23,5.082
0.23,5.587
0.23,5.808
0.23,5.012
0.23,4.793
0.23,4.825
0.23,4.474
0.23,4.149
0.23,-999.0
-999.0,4.179
-999.0,5.072
6.935,5.119
-999.0,5.02
-999.0,5.393
-999.0,5.527
-999.0,5.383
4.156,5.365
2.349,5.173
2.349,5.553
-999.0,5.362
0.23,4.808
0.23,4.917
0.23,4.754
0.23,5.439
0.23,4.816
0.23,4.964
0.23,4.755
0.23,4.403
-999.0,3.745
-999.0,-999.0
-999.0,5.488
-999.0,5.174
3.314,5.385
-999.0,5.395
3.092,5.321
2.919,5.402
-999.0,5.732
-999.0,5.428
-999.0,5.61
-999.0,5.699
-999.0,5.642
0.23,4.491
0.23,4.369
0.23,4.387
0.23,4.78
0.23,4.515
0.23,4.605
0.23,5.01
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,5.114
-999.0,5.42
-999.0,5.389
-999.0,5.327
-999.0,5.556
3.382,5.482
