obs,pred
-999.0,3.003
5.587,2.966
5.195,3.054
5.129,4.787
4.813,-999.0
5.626,5.397
5.792,5.268
5.134,4.429
5.777,4.42
6.42,2.919
1.727,1.715
1.727,2.869
5.491,4.488
5.87,5.369
5.888,3.655
6.42,2.529
-999.0,1.938
-999.0,2.327
1.727,1.611
2.527,1.957
2.287,3.038
1.727,3.079
2.506,2.7
5.251,5.422
3.705,3.374
2.878,2.162
-999.0,2.805
-999.0,4.465
1.727,1.983
1.727,2.642
2.952,3.538
4.528,5.031
4.666,3.671
1.727,1.961
1.727,2.78
2.59,1.285
2.878,1.353
2.878,1.519
-999.0,4.453
5.574,5.018
5.574,4.79
-999.0,2.071
4.057,3.19
1.727,2.054
1.727,2.587
2.158,2.002
5.487,5.968
5.551,4.578
3.293,2.096
1.727,1.685
1.815,2.103
2.878,1.681
3.043,1.947
5.14,4.557
5.394,5.006
5.327,4.72
-999.0,-999.0
-999.0,2.687
3.474,1.83
2.309,0.747
1.727,1.432
1.727,1.774
1.727,3.03
3.943,4.939
5.259,5.697
3.375,2.818
1.727,0.927
1.727,1.761
2.573,1.489
5.082,4.801
5.349,4.759
5.199,4.748
3.935,3.705
2.878,1.503
-999.0,4.59
-999.0,3.681
-999.0,2.774
-999.0,3.424
1.727,-0.103
1.727,0.658
2.499,2.53
1.727,0.952
2.048,1.76
4.801,4.645
4.204,3.111
3.014,2.992
3.463,2.804
2.245,3.019
5.253,4.709
4.917,4.956
4.16,4.358
2.878,1.398
2.878,3.042
4.857,3.217
5.452,4.159
-999.0,5.221
5.328,4.938
-999.0,1.742
-999.0,5.229
2.749,3.19
4.028,3.972
4.809,4.534
2.057,2.17
1.727,1.488
2.843,3.138
5.134,4.943
5.299,4.231
2.007,2.499
1.727,2.972
3.708,3.105
4.769,4.959
4.927,4.987
3.543,2.257
4.442,4.167
4.736,4.683
5.452,4.614
5.452,5.34
5.328,3.725
5.232,4.551
5.087,4.971
4.723,5.153
4.614,4.748
4.774,4.302
5.091,4.601
4.165,4.553
1.986,2.373
3.273,4.131
4.685,5.176
4.053,3.888
1.727,3.84
1.727,3.481
1.727,2.622
4.945,5.028
4.901,4.96
4.817,4.851
4.924,4.791
4.843,4.382
4.826,3.842
-999.0,5.154
-999.0,4.519
4.165,5.1
4.566,4.469
5.25,4.674
5.316,5.258
5.047,4.418
4.458,3.303
5.687,4.167
5.405,4.796
5.512,4.488
5.187,4.769
4.422,4.123
4.398,4.347
-999.0,5.324
5.329,3.875
4.249,3.876
5.329,4.631
5.247,4.713
4.764,4.938
4.931,4.631
4.587,4.751
4.224,4.356
4.254,4.227
-999.0,4.262
4.165,4.596
4.492,3.524
5.18,3.791
5.609,4.545
6.72,4.656
6.725,4.281
5.972,3.668
5.106,4.214
5.06,4.707
5.547,4.206
5.325,3.755
5.087,4.377
4.989,4.192
5.213,4.875
5.175,4.0
5.028,4.591
5.107,3.628
4.825,5.346
5.135,4.93
4.937,4.425
4.58,5.285
4.96,5.172
5.181,4.976
4.879,5.136
-999.0,2.463
4.982,3.703
5.064,4.587
4.554,5.641
5.262,4.898
5.217,4.878
4.869,4.644
4.922,4.668
5.47,4.98
5.184,5.068
4.918,4.955
4.691,4.493
4.669,4.266
5.132,4.494
4.724,5.222
4.505,3.863
4.714,4.621
4.774,4.353
5.135,5.093
4.622,4.951
5.122,5.015
5.076,5.073
4.555,4.718
4.512,4.375
4.515,-999.0
4.35,4.363
4.469,5.215
4.748,4.719
4.973,4.231
5.028,4.722
5.373,5.071
5.78,5.206
5.375,5.242
5.026,5.278
5.2,5.108
4.629,4.387
4.562,4.25
5.184,5.004
4.884,5.134
4.939,2.942
4.711,3.337
4.84,3.79
5.219,4.076
5.707,5.096
5.611,4.891
4.659,4.173
4.738,4.92
4.71,4.57
4.457,3.859
4.554,3.546
5.11,4.606
5.431,4.55
5.683,5.544
5.693,4.658
3.95,5.078
4.902,5.408
4.635,5.264
4.625,4.944
5.111,4.722
4.602,-999.0
4.473,5.31
3.974,4.577
3.703,4.071
4.223,3.93
4.519,4.176
5.393,4.804
5.006,4.596
5.112,4.468
5.001,4.508
4.381,4.483
4.513,4.894
4.554,3.465
4.565,4.709
4.73,4.768
5.186,4.958
4.438,4.365
3.732,4.522
3.369,5.026
3.645,4.563
4.892,5.513
5.347,-999.0
4.866,-999.0
4.488,-999.0
4.069,4.832
