obs,pred
-999.0,3.977
1.149,3.848
1.149,3.557
-999.0,4.947
-999.0,-999.0
1.891,4.997
2.459,4.818
3.179,4.104
2.974,4.334
1.149,4.043
0.863,3.507
0.863,2.849
2.459,5.34
2.459,4.829
2.459,4.343
1.149,3.72
1.149,3.369
1.149,2.797
0.863,2.59
0.863,3.079
0.863,3.379
0.863,3.075
0.863,3.757
5.194,4.273
1.149,3.404
1.149,3.559
1.149,3.436
-999.0,4.044
0.863,3.422
-999.0,3.35
3.48,3.239
3.48,3.749
-999.0,3.922
0.863,3.581
0.863,3.235
1.149,3.397
1.149,3.488
1.149,3.578
-999.0,4.191
-999.0,3.984
3.993,3.588
-999.0,4.72
-999.0,4.12
0.863,3.79
0.863,3.56
0.863,3.372
-999.0,3.87
-999.0,4.09
0.863,3.171
0.863,3.426
0.863,3.226
1.149,3.292
1.149,3.825
3.993,4.285
3.943,4.691
2.527,4.526
-999.0,-999.0
3.334,3.71
-999.0,3.657
0.863,3.596
0.863,3.411
0.863,3.287
0.863,3.74
-999.0,3.767
-999.0,4.152
0.863,3.62
0.863,3.522
0.863,3.579
-999.0,3.41
-999.0,4.226
3.03,4.599
2.527,3.68
3.5,3.818
1.292,4.024
-999.0,4.593
-999.0,4.475
-999.0,3.796
3.334,3.976
0.863,3.348
0.863,3.046
2.663,4.085
0.863,3.668
0.863,3.646
-999.0,4.329
3.482,3.93
-999.0,3.576
-999.0,3.428
0.863,3.281
-999.0,4.254
0.915,4.41
0.915,3.425
1.292,3.638
2.034,3.752
2.034,3.831
3.768,4.336
-999.0,4.564
3.768,4.712
3.334,4.386
3.334,4.793
3.509,4.588
2.663,5.132
3.521,4.18
0.863,3.647
0.863,3.644
0.863,3.921
2.386,5.027
1.369,4.807
0.863,3.237
0.863,3.212
0.863,3.413
0.915,3.891
2.272,4.231
2.034,3.589
2.034,3.987
2.478,4.577
-999.0,3.424
1.769,4.236
3.768,4.043
1.525,4.898
-999.0,4.649
3.509,4.796
-999.0,4.494
3.521,4.273
-999.0,4.241
-999.0,3.671
-999.0,3.814
-999.0,3.217
2.569,4.642
2.569,4.448
3.538,4.7
0.863,3.324
2.072,4.44
2.272,3.859
2.272,4.76
2.478,4.108
1.368,4.342
2.539,3.941
2.539,3.831
4.214,4.484
2.86,4.173
2.86,4.903
2.86,4.465
2.711,5.059
2.711,4.857
3.307,4.315
3.307,4.046
3.307,4.399
-999.0,3.873
-999.0,3.919
-999.0,3.966
2.83,4.555
3.448,4.55
3.142,4.735
3.142,4.708
-999.0,3.728
3.448,4.091
3.448,3.937
-999.0,4.156
1.651,4.53
1.608,3.538
1.608,4.121
1.608,3.888
4.214,4.665
-999.0,4.482
3.551,4.157
1.539,4.594
2.711,3.933
-999.0,4.33
-999.0,4.326
0.916,4.251
1.737,4.965
3.197,5.05
3.197,4.396
3.197,4.154
3.448,3.996
3.448,3.693
3.142,3.658
3.448,3.822
3.448,4.048
3.448,3.566
1.768,3.715
-999.0,4.199
1.651,4.624
1.857,4.241
1.329,4.17
5.017,4.373
-999.0,3.222
-999.0,4.272
-999.0,3.934
-999.0,4.171
-999.0,4.598
3.738,4.553
2.216,4.727
-999.0,4.977
-999.0,4.868
3.711,4.818
2.276,4.463
2.276,4.679
-999.0,4.253
3.448,3.95
3.448,3.666
1.667,4.426
1.667,4.841
3.619,4.515
-999.0,4.969
3.836,4.108
0.893,4.514
1.078,3.974
1.589,3.31
1.589,3.737
1.589,3.83
1.589,-999.0
-999.0,3.333
-999.0,4.173
2.216,5.162
2.216,5.155
2.216,4.76
3.711,4.617
1.366,5.309
1.366,4.808
4.328,4.881
4.328,4.197
3.448,4.078
3.448,4.02
3.448,4.481
3.619,3.84
3.619,4.052
3.836,4.628
2.916,3.894
-999.0,4.291
1.592,3.709
