obs,pred
-999.0,3.372
5.587,3.792
5.195,3.872
5.129,4.258
4.813,-999.0
5.626,5.384
5.792,5.043
5.134,4.437
5.777,4.385
6.42,3.791
1.727,3.791
1.727,4.145
5.491,5.383
5.87,5.25
5.888,4.52
6.42,3.742
-999.0,3.807
-999.0,4.215
1.727,3.833
2.527,3.736
2.287,3.921
1.727,4.288
2.506,4.639
5.251,5.317
3.705,3.341
2.878,3.987
-999.0,4.371
-999.0,4.458
1.727,3.197
1.727,3.967
2.952,4.563
4.528,4.974
4.666,4.355
1.727,4.371
1.727,4.921
2.59,3.038
2.878,3.787
2.878,3.446
-999.0,4.549
5.574,4.948
5.574,4.784
-999.0,2.12
4.057,3.855
1.727,3.349
1.727,3.996
2.158,2.245
5.487,5.401
5.551,4.712
3.293,3.289
1.727,4.49
1.815,3.55
2.878,3.415
3.043,4.028
5.14,4.815
5.394,4.88
5.327,4.701
-999.0,-999.0
-999.0,4.63
3.474,3.345
2.309,3.024
1.727,3.228
1.727,2.857
1.727,3.075
3.943,4.895
5.259,4.927
3.375,3.931
1.727,3.473
1.727,3.44
2.573,3.549
5.082,4.971
5.349,4.986
5.199,4.673
3.935,4.612
2.878,2.613
-999.0,4.496
-999.0,4.956
-999.0,4.604
-999.0,5.027
1.727,2.291
1.727,2.247
2.499,3.206
1.727,2.947
2.048,3.868
4.801,5.018
4.204,3.814
3.014,3.997
3.463,4.181
2.245,3.957
5.253,4.903
4.917,5.237
4.16,4.669
2.878,3.436
2.878,3.794
4.857,3.936
5.452,5.014
-999.0,5.228
5.328,4.875
-999.0,4.909
-999.0,5.229
2.749,4.433
4.028,4.127
4.809,4.243
2.057,3.629
1.727,4.628
2.843,4.63
5.134,5.099
5.299,4.488
2.007,4.068
1.727,4.456
3.708,4.776
4.769,5.195
4.927,4.99
3.543,3.498
4.442,4.433
4.736,4.977
5.452,4.957
5.452,5.044
5.328,5.259
5.232,3.727
5.087,4.334
4.723,4.869
4.614,4.243
4.774,4.209
5.091,4.572
4.165,4.507
1.986,2.855
3.273,4.237
4.685,4.793
4.053,4.446
1.727,4.512
1.727,4.661
1.727,4.943
4.945,4.502
4.901,4.742
4.817,4.983
4.924,4.867
4.843,4.718
4.826,4.062
-999.0,5.466
-999.0,4.502
4.165,5.207
4.566,4.713
5.25,4.856
5.316,5.129
5.047,4.067
4.458,4.323
5.687,3.97
5.405,4.704
5.512,4.995
5.187,4.802
4.422,4.673
4.398,4.849
-999.0,5.145
5.329,4.944
4.249,3.965
5.329,4.55
5.247,5.285
4.764,4.841
4.931,4.926
4.587,4.258
4.224,4.741
4.254,4.53
-999.0,5.11
4.165,3.843
4.492,4.642
5.18,4.688
5.609,4.33
6.72,4.99
6.725,5.189
5.972,4.781
5.106,4.915
