obs,pred
-999.0,4.8
5.587,5.289
5.195,5.12
5.129,4.72
4.813,-999.0
5.626,5.836
5.792,5.554
5.134,4.83
5.777,5.296
6.42,4.135
1.727,4.207
1.727,4.503
5.491,5.668
5.87,5.626
5.888,5.199
6.42,3.891
-999.0,4.398
-999.0,5.315
1.727,4.152
2.527,4.728
2.287,4.873
1.727,4.962
2.506,5.32
5.251,5.418
3.705,4.514
2.878,4.947
-999.0,4.888
-999.0,4.825
1.727,4.567
1.727,4.953
2.952,5.078
4.528,5.375
4.666,5.131
1.727,5.089
1.727,5.188
2.59,3.569
2.878,3.146
2.878,4.497
-999.0,5.241
5.574,5.672
5.574,5.401
-999.0,2.87
4.057,4.085
1.727,3.61
1.727,5.091
2.158,3.097
5.487,5.47
5.551,4.922
3.293,4.219
1.727,4.572
1.815,3.988
2.878,4.377
3.043,4.75
5.14,5.341
5.394,5.586
5.327,5.493
-999.0,-999.0
-999.0,5.756
3.474,4.255
2.309,3.069
1.727,4.616
1.727,4.381
1.727,3.354
3.943,5.385
5.259,5.717
3.375,4.208
1.727,4.73
1.727,4.453
2.573,4.821
5.082,5.009
5.349,5.471
5.199,4.942
3.935,5.378
2.878,4.672
-999.0,3.764
-999.0,5.246
-999.0,5.772
-999.0,5.345
1.727,3.492
1.727,2.993
2.499,3.993
1.727,1.081
2.048,4.716
4.801,6.049
4.204,4.658
3.014,4.891
3.463,4.465
2.245,5.327
5.253,5.732
4.917,5.46
4.16,5.625
2.878,3.315
2.878,3.703
4.857,4.568
5.452,5.408
-999.0,5.148
5.328,3.498
-999.0,5.973
-999.0,5.424
2.749,4.704
4.028,5.031
4.809,5.087
2.057,4.224
1.727,4.368
2.843,5.902
5.134,5.877
5.299,4.748
2.007,5.404
1.727,5.013
3.708,5.686
4.769,5.851
4.927,5.676
3.543,4.381
4.442,4.824
4.736,5.555
5.452,5.18
5.452,4.817
5.328,5.056
5.232,4.58
5.087,4.374
4.723,5.773
4.614,5.438
4.774,5.031
5.091,4.975
4.165,4.734
1.986,4.941
3.273,4.807
4.685,5.182
4.053,4.953
1.727,5.437
1.727,4.818
1.727,5.386
4.945,4.603
4.901,4.97
4.817,5.544
4.924,5.232
4.843,5.386
4.826,4.808
-999.0,5.124
-999.0,3.665
4.165,4.741
4.566,4.479
5.25,4.96
5.316,4.74
5.047,4.861
4.458,4.708
5.687,4.704
5.405,4.805
5.512,4.604
5.187,5.176
4.422,4.987
4.398,5.415
-999.0,5.474
5.329,5.8
4.249,4.316
5.329,5.158
5.247,5.182
4.764,5.174
4.931,4.83
4.587,4.821
4.224,4.921
4.254,4.935
-999.0,5.375
4.165,4.418
4.492,4.268
5.18,2.89
5.609,3.953
6.72,4.869
6.725,4.985
5.972,5.376
5.106,5.614
5.06,5.916
5.547,5.014
5.325,4.704
5.087,4.536
4.989,4.996
5.213,5.166
5.175,5.2
5.028,4.974
5.107,4.91
4.825,5.183
5.135,4.602
4.937,4.98
4.58,5.791
4.96,5.479
5.181,5.482
4.879,4.803
-999.0,2.77
4.982,4.723
5.064,4.602
4.554,5.374
5.262,5.445
5.217,5.516
4.869,4.685
4.922,5.854
5.47,5.726
5.184,5.8
4.918,5.34
4.691,4.741
4.669,4.8
5.132,5.095
4.724,5.27
4.505,5.142
4.714,5.452
4.774,5.186
5.135,5.256
4.622,5.328
5.122,5.45
5.076,5.455
4.555,5.02
4.512,5.111
4.515,-999.0
4.35,4.803
4.469,5.129
4.748,5.153
4.973,5.177
5.028,5.292
5.373,5.311
5.78,6.041
5.375,6.102
5.026,5.407
5.2,5.596
4.629,4.603
4.562,4.807
5.184,5.377
4.884,4.659
4.939,4.333
4.711,4.442
4.84,4.322
5.219,4.742
5.707,5.604
5.611,5.593
4.659,4.715
4.738,5.138
4.71,5.253
4.457,4.731
4.554,5.257
5.11,5.148
5.431,5.118
5.683,5.153
5.693,5.228
3.95,5.19
4.902,5.35
4.635,5.121
4.625,5.252
5.111,5.435
4.602,-999.0
4.473,4.977
3.974,5.462
3.703,5.183
4.223,4.159
4.519,4.778
5.393,5.218
5.006,4.281
5.112,4.695
5.001,4.286
4.381,4.817
4.513,4.761
4.554,4.924
4.565,5.67
4.73,5.281
5.186,5.824
4.438,5.24
3.732,4.329
3.369,4.262
3.645,4.691
4.892,5.663
5.347,-999.0
4.866,-999.0
4.488,-999.0
4.069,5.37
2.593,5.124
3.45,4.934
4.901,4.547
5.002,4.938
4.783,5.324
5.472,5.19
4.797,3.786
4.405,5.672
4.629,4.938
4.746,4.903
4.578,5.26
4.721,4.72
4.667,5.079
4.268,5.199
3.968,5.553
4.096,4.895
4.83,-999.0
5.095,-999.0
4.576,-999.0
4.655,-999.0
4.062,-999.0
4.45,5.102
4.486,4.754
4.307,5.173
5.015,5.086
5.002,5.124
-999.0,5.191
4.293,4.73
4.756,5.155
5.555,5.357
4.739,4.849
4.537,4.999
4.184,4.697
4.866,4.809
4.136,5.17
5.142,4.966
4.559,4.887
5.03,4.934
5.262,-999.0
5.213,-999.0
4.905,-999.0
4.909,-999.0
4.481,5.093
5.055,5.06
4.952,5.569
5.074,5.612
5.018,4.925
4.899,4.968
4.096,4.491
4.096,4.834
5.506,5.273
5.233,5.058
4.93,5.287
4.519,4.808
5.026,4.531
-999.0,-999.0
3.308,5.559
4.787,5.714
-999.0,4.129
5.67,4.45
5.193,-999.0
5.071,-999.0
4.762,-999.0
4.446,-999.0
4.577,-999.0
5.202,5.031
4.735,5.167
4.885,5.009
5.013,5.515
4.861,4.713
4.155,4.464
4.184,4.934
4.323,4.923
5.032,5.022
5.186,4.705
5.027,4.483
4.821,4.968
4.673,4.859
4.943,4.91
-999.0,4.561
5.812,4.251
4.693,4.999
4.146,5.292
